rtambient,rtambientc,rtambientnc,rtvisual,rtvisualc,rtvisualnc,rtimagery,rtimageryc,rtimagerync,cambient,cambientc,cambientnc,cvisual,cvisualc,cvisualnc,cimagery,cimageryc,cimagerync
760,742,782,851,926,868,755,742,959,18,10,8,19,9,10,18,10,8
1321,1236,1407,1278,1292,1265,1308,1357,1398,20,10,10,20,10,10,19,10,9
1022,1020,1025,998,877,1244,1044,1035,1052,18,10,8,19,10,9,20,10,10
1146,1068,1233,1263,1377,1429,1301,1271,1330,19,10,9,18,9,9,20,10,10
1051,940,1162,986,959,1110,1017,1099,1045,18,9,9,19,9,10,19,9,10
1080,1007,1153,1010,909,1234,1142,1016,1268,18,9,9,19,10,9,20,10,10
939,921,956,1049,1053,1046,1068,1224,1149,19,9,10,20,10,10,18,9,9
1344,1136,1552,1188,1229,1148,1463,1479,1772,20,10,10,20,10,10,18,9,9
1010,844,1177,1097,1143,1167,1166,1109,1358,18,9,9,19,10,9,19,10,9
1222,1223,1221,1088,991,1316,1227,1376,1216,19,9,10,19,10,9,19,9,10
1009,966,1051,987,1054,920,1016,981,1150,20,10,10,20,10,10,19,9,10
875,810,933,1102,1029,1175,891,874,909,19,9,10,20,10,10,20,10,10
1220,1285,1155,1208,977,1439,1135,978,1293,20,10,10,20,10,10,20,10,10
1244,1218,1270,1312,1337,1422,1092,1106,1079,20,10,10,19,9,10,20,10,10
